supply_source,domain,app_name,country,environment,device_type,line_item_type,creative_size,impressions,viewable_impressions,measurable_impressions,clicks,total_spend_usd,viewability,measurability,ctr,ecpm_usd,vcpm_usd,ecpc_usd,viewable_impressions_est,quality_score,cost_efficiency_score,iab_category,iab_category_secondary,content_type,audience_profile,geo_focus,language,brand_safety_risk,is_app,publisher_tier
kidoz,apps.apple.com,Pondlife — Relaxing Fish Game,US,In-app,Mobile,VIDEO,1300x1280,1162,662,682,20,10.1374,0.9707,0.5869,0.0172,8.724,15.313,0.507,1128,0.8614,0.0563,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.ambito.com,,MX,Web,Mobile,DISPLAY,300x250,34988,25036,33334,398,162.5937,0.751,0.9528,0.0114,4.6473,6.4954,0.4192,26276,0.8613,0.1326,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,national,es,low,false,premium
rp,www.businessinsider.com,,MX,Web,Mobile,DISPLAY,300x600,1706,1225,1650,9,7.9077,0.7422,0.9672,0.0053,4.6354,6.471,0.7496,1266,0.8613,0.1331,IAB3 - Business,IAB13 - Personal Finance,business,professionals,global,en,low,false,premium
kidoz,apps.apple.com,Zoo 2: Animal Park,US,In-app,Mobile,VIDEO,1920x1080,1370,752,760,10,11.9518,0.9895,0.5547,0.0073,8.724,15.893,1.195,1356,0.8612,0.0542,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.estadao.com.br,,BR,Web,Mobile,DISPLAY,320x50,1941,1553,1860,3,0.5134,0.8349,0.9582,0.0016,0.2643,0.3304,0.1662,1621,0.8604,2.6044,IAB12 - News / Current Events,IAB3 - Business,news,professionals,national,pt,low,false,premium
appnexus,www.record.com.mx,,MX,Web,Mobile,DISPLAY,300x600,4012,2874,3900,15,18.3763,0.7369,0.9721,0.0037,4.58,6.394,1.225,2956,0.8601,0.1345,IAB17 - Sports,IAB12 - News / Current Events,sports,sports_fans,national,es,medium,false,mid-tier
adxbr,suamusica.com.br,,BR,Web,Desktop,DISPLAY,970x250,5208,3724,5034,19,1.4916,0.7398,0.9666,0.0036,0.286,0.401,0.079,3853,0.8599,2.1444,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,pt,medium,false,long-tail
kidoz,apps.apple.com,Crossword Puzzle Universe,US,In-app,Mobile,VIDEO,1920x1080,3822,2321,2341,7,33.3434,0.9915,0.6125,0.0018,8.724,14.366,4.763,3790,0.8595,0.0598,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
sas,sudoku.com,,MX,Web,Desktop,DISPLAY,336x280,2259,1620,2234,7,10.4309,0.7251,0.9889,0.0031,4.6178,6.4433,1.5826,1638,0.8592,0.1333,IAB9 - Hobbies & Interests,,gaming,mixed,global,en,low,false,long-tail
adxbr,www.letras.com,,MX,Web,Desktop,DISPLAY,300x600,1123,801,1069,103,5.2104,0.747,0.9519,0.0917,4.64,6.614,0.0509,839,0.8591,0.1299,IAB1 - Arts & Entertainment,,entertainment,young_adults,regional,es,medium,false,long-tail
id,apps.apple.com,Cookie Jam: Match 3 Games,US,In-app,Mobile,VIDEO,1300x1280,277047,149783,150759,4770,3776.5315,0.9911,0.5441,0.0172,13.631,32.4187,4.6791,274573,0.8588,0.0265,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Sticker Book: Color By Number,US,In-app,Mobile,VIDEO,1920x1080,1349,760,786,44,11.7688,0.9669,0.5827,0.0326,8.724,15.485,0.267,1304,0.8583,0.0554,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Fruit Diary - Match 3 Games,US,In-app,Mobile,VIDEO,1300x1280,3851,2228,2341,66,33.5964,0.9517,0.6079,0.0171,8.724,15.079,0.509,3665,0.8582,0.0569,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Star Chef 2: Restaurant Game,US,In-app,Mobile,VIDEO,1920x1080,1717,920,927,14,14.979,0.9924,0.5399,0.0082,8.724,16.281,1.07,1704,0.8582,0.0527,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Galaxy Defense: Fortress TD,US,In-app,Mobile,VIDEO,1300x1280,7594,4210,4320,53,66.2507,0.9745,0.5689,0.007,8.724,15.736,1.25,7400,0.8579,0.0545,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
rp,www.nationalgeographic.com.es,,MX,Web,Mobile,DISPLAY,300x600,1134,792,1030,26,5.2496,0.7702,0.9083,0.0229,4.6291,7.0152,0.239,873,0.8576,0.1222,IAB15 - Science,IAB20 - Travel,education,professionals,national,es,low,false,premium
adx,www.revistagente.com,,ES,Web,Mobile,DISPLAY,300x250,1569,1117,1532,12,0.718,0.7291,0.9764,0.0076,0.458,0.643,0.06,1144,0.8575,1.3336,IAB1 - Arts & Entertainment,,entertainment,mass_reach,national,es,medium,false,long-tail
adx,www.lequipe.fr,,FR,Web,Mobile,DISPLAY,300x300,2148,1784,2114,3,11.2079,0.8439,0.9842,0.0014,5.218,6.282,3.736,1813,0.8572,0.1365,IAB17 - Sports,,sports,sports_fans,national,fr,low,false,premium
openx,www.overwolf.com,,MX,Web,Desktop,DISPLAY,728x90,4933,4692,4910,4,22.9273,0.9556,0.9953,0.0008,4.648,4.886,5.732,4714,0.8564,0.1753,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,tech_enthusiasts,global,en,medium,false,mid-tier
kidoz,play.google.com,Star Force,US,In-app,Mobile,VIDEO,1300x1280,1183,629,635,11,10.3206,0.9906,0.5368,0.0093,8.724,16.408,0.938,1172,0.8563,0.0522,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Screw Guru,US,In-app,Mobile,VIDEO,1920x1080,1022,539,542,33,8.916,0.9945,0.5303,0.0323,8.724,16.542,0.27,1016,0.8563,0.0518,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Venue: Relaxing Design Game,US,In-app,Mobile,VIDEO,1300x1280,2580,1366,1377,34,22.5081,0.992,0.5337,0.0132,8.724,16.477,0.662,2559,0.8561,0.052,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Candy Valley - Match 3 Puzzle,US,In-app,Mobile,VIDEO,1300x1280,1884,1019,1040,39,16.4362,0.9798,0.552,0.0207,8.724,16.13,0.421,1846,0.8555,0.053,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
openx,sudoku.com,,MX,Web,Desktop,DISPLAY,160x600,1301,923,1290,6,6.0035,0.7155,0.9915,0.0046,4.6149,6.5056,0.8001,931,0.8552,0.1315,IAB9 - Hobbies & Interests,,gaming,mixed,global,en,low,false,long-tail
appnexus,www.buzzfeed.com,,MX,Web,Mobile,DISPLAY,300x600,2091,1910,2071,2,9.6944,0.9223,0.9904,0.001,4.6358,5.076,9.2975,1929,0.855,0.1684,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,young_adults,global,en,medium,false,premium
kidoz,play.google.com,Forest Rescue: Match 3 Puzzle,US,In-app,Mobile,VIDEO,1300x1280,1952,1062,1089,31,17.0294,0.9752,0.5579,0.0159,8.724,16.035,0.549,1904,0.855,0.0533,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.infobae.com,,MX,Web,Mobile,DISPLAY,300x600,4039,2863,4005,77,18.6759,0.7148,0.9916,0.019,4.6236,6.5312,0.245,2887,0.8549,0.1309,IAB12 - News / Current Events,,news,mass_reach,regional,es,medium,false,premium
pubmatic,ml.t-mobile.com,,MX,Web,Mobile,DISPLAY,300x250,1703,1189,1579,7,7.8594,0.753,0.9271,0.0041,4.6148,6.6106,1.1127,1282,0.8546,0.1293,IAB19 - Technology & Computing,,technology,mass_reach,national,en,low,false,premium
medianet,people.com,,MX,Web,Desktop,DISPLAY,160x600,1008,713,999,14,4.6865,0.7133,0.991,0.0139,4.6498,6.6139,0.315,719,0.854,0.1291,IAB1 - Arts & Entertainment,,entertainment,mass_reach,global,en,low,false,premium
kidoz,apps.apple.com,Nuts And Bolts Sort,US,In-app,Mobile,VIDEO,1920x1080,10346,5485,5577,232,90.2593,0.9835,0.539,0.0224,8.724,16.456,0.389,10175,0.8535,0.0519,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
smartyads,www.unotv.com,,MX,Web,Mobile,DISPLAY,320x100,3988,2802,3861,12,18.4103,0.7257,0.9681,0.003,4.6161,6.6167,1.1362,2894,0.8533,0.129,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
kidoz,apps.apple.com,Wood Block Jam,US,In-app,Mobile,VIDEO,1920x1080,5344,2871,2942,89,46.6215,0.9759,0.5505,0.0167,8.724,16.239,0.524,5215,0.8531,0.0525,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Nuts And Bolts Sort,US,In-app,Mobile,VIDEO,1300x1280,12146,6396,6496,267,105.9627,0.9846,0.5348,0.022,8.724,16.567,0.397,11959,0.8527,0.0515,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
pubmatic,www.pudelek.pl,,PL,Web,Mobile,DISPLAY,300x250,2210,1639,2167,4,1.8169,0.7563,0.9805,0.0018,0.822,1.109,0.454,1671,0.8523,0.7685,IAB1 - Arts & Entertainment,,entertainment,mass_reach,national,pl,medium,false,mid-tier
kidoz,apps.apple.com,Go! Dolliz: Doll Dress Up Game,US,In-app,Mobile,VIDEO,1300x1280,1038,542,549,57,9.0556,0.9872,0.5289,0.0549,8.724,16.708,0.159,1025,0.8523,0.051,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
opera,www.record.com.mx,,MX,Web,Mobile,DISPLAY,300x600,2139,1498,2078,19,9.7973,0.7209,0.9715,0.0089,4.58,6.54,0.516,1542,0.8519,0.1303,IAB17 - Sports,IAB12 - News / Current Events,sports,sports_fans,national,es,medium,false,mid-tier
adxbr,mexicoo.mx,,MX,Web,Mobile,DISPLAY,336x280,3144,2189,2973,33,14.5039,0.7363,0.9456,0.0105,4.6133,6.6258,0.4442,2315,0.8518,0.1286,IAB20 - Travel,IAB12 - News / Current Events,travel,mass_reach,national,es,medium,false,long-tail
kidoz,apps.apple.com,Sticker Book: Color By Number,US,In-app,Mobile,VIDEO,1300x1280,2051,1085,1109,59,17.8931,0.9784,0.5407,0.0288,8.724,16.491,0.303,2007,0.8514,0.0516,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
appnexus,www.unotv.com,,MX,Web,Mobile,DISPLAY,320x50,14283,10011,14056,29,66.4962,0.7122,0.9841,0.002,4.656,6.6424,2.2907,10172,0.8512,0.1281,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
rp,www.all-good-weddings.com,,GB,Web,Mobile,DISPLAY,300x250,2286,1596,2206,7,1.9565,0.7235,0.965,0.0031,0.856,1.226,0.28,1654,0.8512,0.6943,IAB6 - Family & Parenting,IAB18 - Style & Fashion,entertainment,parents,global,en,medium,false,long-tail
adx,www.lequipe.fr,,FR,Web,Mobile,DISPLAY,336x280,50169,39080,49310,81,245.5776,0.7925,0.9829,0.0016,4.895,6.284,3.032,39759,0.8511,0.1354,IAB17 - Sports,,sports,sports_fans,national,fr,low,false,premium
onetag,unotv.com,,MX,Web,Mobile,DISPLAY,970x250,1682,1436,1644,2,7.7041,0.8735,0.9774,0.0012,4.58,5.365,3.852,1469,0.85,0.1584,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
appnexus,cuisine.journaldesfemmes.fr,,FR,Web,Mobile,DISPLAY,336x280,1615,1122,1554,13,7.0495,0.722,0.9622,0.008,4.365,6.283,0.542,1166,0.8497,0.1352,IAB6 - Family & Parenting,IAB18 - Style & Fashion,parenting,parents,national,fr,low,false,mid-tier
kidoz,apps.apple.com,Pondlife — Relaxing Fish Game,US,In-app,Mobile,VIDEO,1920x1080,2376,1217,1235,33,20.7281,0.9854,0.5198,0.0139,8.724,17.032,0.628,2341,0.8486,0.0498,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Tic Tac Toe - 2 Player XO,US,In-app,Mobile,VIDEO,1920x1080,7907,4255,4431,526,68.9813,0.9603,0.5604,0.0665,8.724,16.212,0.131,7593,0.8483,0.0523,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Alice&#39;s Dream ：Merge Games,US,In-app,Mobile,VIDEO,1920x1080,11495,5884,5981,87,100.2833,0.9838,0.5203,0.0076,8.724,17.043,1.153,11309,0.848,0.0498,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Color Slide - Hexa Puzzle,US,In-app,Mobile,VIDEO,1300x1280,4985,2542,2581,548,43.4895,0.9849,0.5178,0.1099,8.724,17.108,0.079,4910,0.8478,0.0496,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
openx,www.xataka.com,,MX,Web,Mobile,DISPLAY,320x100,1194,1103,1158,1,5.4689,0.9525,0.9698,0.0008,4.58,4.958,5.469,1137,0.8472,0.1709,IAB19 - Technology & Computing,,technology,tech_enthusiasts,regional,es,low,false,premium
kidoz,play.google.com,Toon Blast,US,In-app,Mobile,VIDEO,1300x1280,9552,4836,4903,112,83.3324,0.9863,0.5133,0.0117,8.724,17.232,0.744,9421,0.8471,0.0492,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
appnexus,lolalytics.com,,MX,Web,Desktop,DISPLAY,300x600,1442,999,1424,4,6.6048,0.7015,0.9875,0.0028,4.58,6.611,1.651,1012,0.847,0.1281,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,tech_enthusiasts,global,en,low,false,long-tail
opera,www.radio-en-vivo.mx,,MX,Web,Desktop,DISPLAY,728x90,6081,5762,5972,4,28.2994,0.9648,0.982,0.0007,4.6539,4.9112,7.0492,5867,0.8469,0.1724,IAB1 - Arts & Entertainment,,streaming,mass_reach,national,es,medium,false,long-tail
smartyads,www.unotv.com,,MX,Web,Mobile,DISPLAY,728x90,1880,1299,1840,14,8.7105,0.7058,0.9788,0.0075,4.6329,6.7502,0.4682,1327,0.8465,0.1254,IAB12 - News / Current Events,,news,mass_reach,national,es,medium,false,mid-tier
adxbr,www.revistagq.com,,MX,Web,Mobile,DISPLAY,320x50,1993,1765,1950,2,9.271,0.9051,0.9784,0.001,4.652,5.253,4.636,1804,0.8461,0.1611,IAB18 - Style & Fashion,IAB1 - Arts & Entertainment,entertainment,high_income,regional,es,low,false,premium
adxbr,gauchazh.clicrbs.com.br,,BR,Web,Desktop,DISPLAY,970x250,1282,884,1252,8,1.3185,0.7061,0.9766,0.0062,1.028,1.491,0.165,905,0.846,0.5674,IAB12 - News / Current Events,,news,mass_reach,local,pt,medium,false,mid-tier
kidoz,apps.apple.com,Angry Birds Friends,US,In-app,Mobile,VIDEO,1920x1080,46054,23300,23714,652,401.7788,0.9825,0.5149,0.0142,8.724,17.244,0.616,45248,0.8457,0.049,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.motorpasion.com.mx,,MX,Web,Mobile,DISPLAY,300x600,1125,774,1097,16,5.1529,0.7056,0.9751,0.0142,4.58,6.657,0.322,794,0.8453,0.127,IAB2 - Automotive,,automotive,mixed,national,es,low,false,mid-tier
kidoz,apps.apple.com,Fashion Impress: Dress Up Game,US,In-app,Mobile,VIDEO,1300x1280,1119,612,650,83,9.7622,0.9415,0.5809,0.0742,8.724,15.951,0.118,1054,0.845,0.053,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
sovrn,www.tvazteca.com,,MX,Web,Mobile,DISPLAY,300x600,4500,3094,4416,29,20.7638,0.7006,0.9813,0.0065,4.6143,6.8789,0.6139,3153,0.8447,0.1228,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,entertainment,mass_reach,national,es,low,false,premium
adxbr,www.gazetadopovo.com.br,,BR,Web,Mobile,DISPLAY,320x50,4229,3822,4150,4,0.7458,0.921,0.9813,0.0009,0.1766,0.1955,0.1856,3895,0.8447,4.3199,IAB12 - News / Current Events,"IAB11 - Law, Government & Politics",news,professionals,national,pt,low,false,premium
rp,www.lasestrellas.tv,,MX,Web,Mobile,DISPLAY,300x250,1026,704,996,23,4.7503,0.7067,0.9707,0.0224,4.6298,6.7515,0.2052,725,0.8446,0.1251,IAB1 - Arts & Entertainment,,entertainment,mass_reach,national,es,low,false,premium
rp,www.tvnotas.com.mx,,MX,Web,Mobile,DISPLAY,300x100,2843,2460,2807,3,13.2341,0.8764,0.9873,0.0011,4.655,5.38,4.411,2492,0.8444,0.157,IAB1 - Arts & Entertainment,,entertainment,mass_reach,national,es,medium,false,mid-tier
kidoz,play.google.com,Forest Rescue: Match 3 Puzzle,US,In-app,Mobile,VIDEO,1920x1080,1734,967,1042,29,15.1276,0.928,0.6009,0.0167,8.724,15.644,0.522,1609,0.8443,0.054,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.lecturas.com,,MX,Web,Mobile,DISPLAY,300x600,1403,961,1358,17,6.4684,0.7077,0.9679,0.0121,4.6105,6.7232,0.3904,993,0.8442,0.1256,IAB1 - Arts & Entertainment,IAB18 - Style & Fashion,entertainment,mass_reach,national,es,low,false,mid-tier
kidoz,apps.apple.com,Angry Birds Friends,US,In-app,Mobile,VIDEO,1300x1280,82155,41147,41914,1141,716.7268,0.9817,0.5102,0.0139,8.724,17.419,0.628,80652,0.8439,0.0484,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Candy Crush Saga,US,In-app,Mobile,VIDEO,1920x1080,45214,22533,22915,439,394.4506,0.9833,0.5068,0.0097,8.724,17.505,0.899,44459,0.8437,0.0482,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Wood Block Jam,US,In-app,Mobile,VIDEO,1300x1280,5503,2775,2839,70,48.0086,0.9775,0.5159,0.0127,8.724,17.3,0.686,5379,0.8435,0.0488,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
pubmatic,www.mariefrance.fr,,FR,Web,Mobile,DISPLAY,300x600,4312,2938,4113,17,2.8826,0.7143,0.9538,0.0039,0.669,0.981,0.17,3080,0.8433,0.8596,IAB18 - Style & Fashion,IAB7 - Health & Fitness,entertainment,high_income,national,fr,low,false,mid-tier
kidoz,apps.apple.com,Crozzle - Crossword Puzzles,US,In-app,Mobile,VIDEO,1300x1280,1866,896,899,21,16.2791,0.9967,0.4818,0.0113,8.724,18.169,0.775,1860,0.8429,0.0464,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Fruit Diary - Match 3 Games,US,In-app,Mobile,VIDEO,1920x1080,3320,1827,1964,53,28.9639,0.9302,0.5916,0.016,8.724,15.853,0.546,3088,0.8426,0.0532,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
triplelift,mx.investing.com,,MX,Web,Desktop,DISPLAY,300x600,1202,821,1174,18,5.5914,0.6991,0.9767,0.015,4.6522,6.8326,0.311,840,0.8426,0.1233,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,global,en,low,false,premium
adx,actu.femmeactuelle.fr,,FR,Web,Mobile,VIDEO,1300x1280,1187,1071,1119,1,30.2028,0.9571,0.9427,0.0008,25.445,28.1986,24.7028,1136,0.8423,0.0299,IAB18 - Style & Fashion,IAB7 - Health & Fitness,entertainment,mass_reach,national,fr,low,false,mid-tier
smartyads,finviz.com,,MX,Web,Desktop,DISPLAY,728x90,1321,896,1249,13,6.1123,0.7172,0.9455,0.0099,4.6271,6.8474,0.4017,947,0.8422,0.123,IAB13 - Personal Finance,IAB3 - Business,finance,professionals,global,en,low,false,mid-tier
kidoz,play.google.com,Tower War - Tactical Conquest,US,In-app,Mobile,VIDEO,1300x1280,11123,6319,6952,138,97.0379,0.9089,0.625,0.0124,8.724,15.357,0.703,10110,0.8419,0.0548,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,poki.com,,MX,Web,Desktop,DISPLAY,300x250,8808,8413,8607,5,40.9993,0.9774,0.9771,0.0006,4.655,4.8737,8.1759,8609,0.8418,0.1727,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,young_adults,global,en,medium,false,mid-tier
medianet,www.overwolf.com,,MX,Web,Desktop,DISPLAY,300x50,82099,78951,81789,46,382.1884,0.9653,0.9962,0.0006,4.655,4.841,8.308,79250,0.8415,0.1738,IAB9 - Hobbies & Interests,IAB19 - Technology & Computing,gaming,tech_enthusiasts,global,en,medium,false,mid-tier
kidoz,play.google.com,Alice&#39;s Dream ：Merge Games,US,In-app,Mobile,VIDEO,1300x1280,19675,9780,10001,164,171.6463,0.9779,0.5083,0.0083,8.724,17.551,1.047,19240,0.8414,0.0479,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Galaxy Defense: Fortress TD,US,In-app,Mobile,VIDEO,1920x1080,4621,2390,2493,30,40.314,0.9587,0.5395,0.0065,8.724,16.868,1.344,4430,0.8412,0.0499,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adx,www.footmercato.net,,FR,Web,Mobile,DISPLAY,336x280,22761,15875,21996,43,99.5922,0.7217,0.9664,0.0019,4.376,6.274,2.316,16427,0.8408,0.134,IAB17 - Sports,,sports,sports_fans,national,fr,medium,false,mid-tier
triplelift,outlook.live.com,,MX,Web,Desktop,DISPLAY,160x600,4440,4162,4376,3,20.6356,0.9511,0.9856,0.0007,4.6476,4.9586,6.7929,4223,0.8408,0.1696,IAB19 - Technology & Computing,,technology,mass_reach,global,en,low,false,premium
kidoz,apps.apple.com,Magic Jigsaw Puzzles－Games HD,US,In-app,Mobile,VIDEO,1920x1080,23160,11143,11265,357,202.0497,0.9892,0.4864,0.0154,8.724,18.132,0.566,22910,0.8405,0.0464,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Golf Rival - Multiplayer Game,US,In-app,Mobile,VIDEO,1300x1280,14925,7219,7318,153,130.2069,0.9865,0.4903,0.0103,8.724,18.037,0.851,14724,0.8403,0.0466,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Ice Crush 2020 -Jewels Puzzle,US,In-app,Mobile,VIDEO,1920x1080,7794,3732,3772,39,67.9939,0.9894,0.484,0.005,8.724,18.219,1.743,7711,0.8399,0.0461,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Forest Rescue: Bubble Pop,US,In-app,Mobile,VIDEO,1920x1080,3021,1493,1532,33,26.3549,0.9745,0.5071,0.0109,8.724,17.652,0.799,2944,0.8394,0.0476,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,GODZILLA BATTLE LINE,US,In-app,Mobile,VIDEO,1300x1280,1183,556,560,5,10.3206,0.9929,0.4734,0.0042,8.724,18.562,2.064,1175,0.8385,0.0452,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,www.imagenradio.com.mx,,MX,Web,Desktop,DISPLAY,336x280,1744,1662,1729,1,8.093,0.9612,0.9914,0.0006,4.641,4.8698,8.0834,1676,0.838,0.1721,IAB1 - Arts & Entertainment,IAB12 - News / Current Events,streaming,mass_reach,national,es,medium,false,mid-tier
kidoz,play.google.com,Toy Blast,US,In-app,Mobile,VIDEO,1300x1280,6705,3178,3220,92,58.495,0.987,0.4802,0.0137,8.724,18.406,0.636,6618,0.8376,0.0455,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Merge Inn - Tasty Match Puzzle,US,In-app,Mobile,VIDEO,1300x1280,16088,7485,7528,487,140.353,0.9943,0.4679,0.0303,8.724,18.751,0.288,15996,0.8375,0.0447,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Ice Crush 2020 -Jewels Puzzle,US,In-app,Mobile,VIDEO,1300x1280,3345,1552,1560,25,29.182,0.9949,0.4664,0.0075,8.724,18.803,1.167,3328,0.8374,0.0445,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
rp,people.com,,MX,Web,Mobile,DISPLAY,320x50,1444,1341,1419,1,6.7188,0.945,0.9827,0.0007,4.653,5.01,6.719,1365,0.8373,0.1671,IAB1 - Arts & Entertainment,,entertainment,mass_reach,global,en,low,false,premium
kidoz,apps.apple.com,Klondike Adventures: Farm Game,US,In-app,Mobile,VIDEO,1300x1280,91602,45088,46485,1403,799.1432,0.9699,0.5075,0.0153,8.724,17.724,0.57,88845,0.8372,0.0472,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Klondike Adventures: Farm Game,US,In-app,Mobile,VIDEO,1920x1080,77023,37726,38812,1062,671.9548,0.972,0.5039,0.0138,8.724,17.811,0.633,74866,0.8372,0.047,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,play.google.com,Candy Crush Saga,US,In-app,Mobile,VIDEO,1300x1280,42095,20090,20455,447,367.2401,0.9822,0.4859,0.0106,8.724,18.28,0.822,41346,0.8369,0.0458,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
kidoz,apps.apple.com,Goods 3D Sorting: Match Games,US,In-app,Mobile,VIDEO,1920x1080,3710,1792,1837,10,32.3663,0.9755,0.4951,0.0027,8.724,18.2018,0.0227,3619,0.8363,0.0459,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,mass_reach,global,en,low,true,premium
adxbr,polybuzz.ai,,MX,Web,Mobile,DISPLAY,300x600,7535,5058,7462,67,34.7447,0.6779,0.9903,0.0089,4.6114,6.8736,0.5338,5108,0.8361,0.1216,IAB19 - Technology & Computing,IAB9 - Hobbies & Interests,technology,young_adults,global,en,medium,false,long-tail
smaato,diario.mx,,MX,Web,Desktop,DISPLAY,300x250,1576,1055,1530,146,7.3385,0.6895,0.9708,0.0926,4.656,6.956,0.05,1087,0.836,0.1202,IAB12 - News / Current Events,,news,mass_reach,local,es,medium,false,long-tail
