SUPPLY_SOURCE,DOMAIN,APP_NAME,DEVICE_TYPE,ENVIRONMENT,LINE_ITEM_TYPE,CREATIVE_SIZE,COUNTRY,IMPRESSIONS,VIEWABLE_IMPRESSIONS,MEASURABLE_IMPRESSIONS,VIEWABILITY,CLICKS,CLICK_THROUGH_RATE,TOTAL_SPEND_USD,ECPM_USD,VCPM_USD,ECPC_USD,VIDEO_COMPLETE_VIEWS,VIDEO_COMPLETION_RATE,effective_viewability,measurability_rate,cost_per_viewable_impression,quality_score,cost_efficiency_score,brand_safety_score,brand_safety_risk,iab_category,iab_category_secondary,content_type,audience_profile,placement_rationale_pl
sovrn,www.reclameaqui.com.br,,Mobile,Web,DISPLAY,970x250,BR,18137,17362,17858,97.22%,26,0.14%,15.848108,0.874,0.913,0.610,0,0.00%,0.9573,0.9846,0.9128,0.9784,0.0002,0.9784,low,IAB13 - Personal Finance,IAB14 - Society,other,"professionals, mass_reach",Portal recenzji konsumentów przyciąga osoby szukające opinii przed zakupami i inwestycjami.
adx,www.edziecko.pl,,Mobile,Web,DISPLAY,336x280,PL,17863,14767,17457,84.59%,35,0.20%,48.515981,2.716,3.285,1.386,0,0.00%,0.8267,0.9773,3.2854,0.9116,0.0,0.9116,low,IAB22 - Education,IAB11 - Home & Garden,parenting,"parents, mass_reach",Polski portal dla rodziców przyciąga opiekunów dziecięcych poszukujących porad i wskazówek.
inmobi,web.coolinarika.com,,Mobile,Web,DISPLAY,300x600,RS,17801,15710,17574,89.39%,44,0.25%,41.621023,2.338,2.649,0.946,0,0.00%,0.8825,0.9872,2.6493,0.9405,0.0001,0.9405,low,IAB9 - Hobbies & Interests,,lifestyle,"mass_reach, parents","Portal kulinarny z zainteresowaną publiką, odpowiedni dla marek spożywczych i AGD."
pubmatic,www.findagrave.com,,Mobile,Web,DISPLAY,300x600,US,17591,10164,14936,68.05%,2,0.01%,21.992106,1.250,2.164,10.996,0,0.00%,0.5778,0.8491,2.1637,0.7648,0.0001,0.7648,low,IAB19 - Hobbies & Interests,IAB20 - Home & Garden,other,mass_reach,"Genealogiczny serwis historyczny, niszowy dla reklam usług pamięci i genealogii."
onetag,turystyka.wp.pl,,Desktop,Web,DISPLAY,300x600,PL,17350,13889,17236,80.58%,1,0.01%,3.566258,0.206,0.257,3.566,0,0.00%,0.8005,0.9934,0.2568,0.8996,0.0006,0.8996,low,IAB20 - Travel,,travel,"mass_reach, high_income",Portal turystyki polskiego serwisu dla turystów planujących wakacje i podróże krajowe.
openx,autogaleria.pl,,Mobile,Web,DISPLAY,300x600,PL,17193,2194,16906,12.98%,24,0.14%,13.904329,0.809,6.337,0.579,0,0.00%,0.1276,0.9833,6.3374,0.5565,0.0,0.5565,medium,IAB16 - Automotive,IAB18 - Shopping,automotive,"mass_reach, high_income","Serwis sprzedaży samochodów, doskonały dla dealerów i producentów auto."
openx,giroemipiau1.com.br,,Mobile,Web,DISPLAY,300x600,BR,17149,15640,16933,92.36%,34,0.20%,22.233747,1.297,1.422,0.654,0,0.00%,0.912,0.9874,1.4216,0.9555,0.0001,0.9555,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Brazylijski portal piłkarski dociera do fanów piłki nożnej z Pernambuko i całego kraju.
sovrn,wiadomosci.gazeta.pl,,Mobile,Web,DISPLAY,970x250,PL,17085,11946,16934,70.54%,2,0.01%,6.900041,0.404,0.578,3.450,0,0.00%,0.6992,0.9912,0.5776,0.8483,0.0003,0.8483,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Serwis informacyjny gazety, premium placement dla marek premium i finance."
adxbr,giroemipiau1.com.br,,Mobile,Web,DISPLAY,300x600,BR,16764,14587,16603,87.86%,157,0.94%,29.763951,1.775,2.040,0.190,0,0.00%,0.8701,0.9904,2.0404,0.9345,0.0001,0.9345,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Brazylijski portal piłkarski dociera do fanów piłki nożnej z Pernambuko i całego kraju.
appnexus,www.fragrantica.com.br,,Mobile,Web,DISPLAY,320x100,BR,16703,13928,16420,84.82%,12,0.07%,3.141599,0.188,0.226,0.262,0,0.00%,0.8339,0.9831,0.2256,0.9156,0.0007,0.9156,low,IAB19 - Hobbies & Interests,IAB10 - Shopping,shopping,"young_adults, high_income","Serwis fragrancji dla entuzjastów zapachów, idealny dla marek kosmetyk i perfumerii."
appnexus,www.larazon.es,,Mobile,Web,DISPLAY,300x600,ES,16562,10706,16366,65.42%,102,0.62%,35.820180,2.163,3.346,0.351,0,0.00%,0.6464,0.9882,3.3458,0.8212,0.0,0.8212,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Hiszpańska gazeta informacyjna; dostęp do dojrzałej, wykształconej publiczności zainteresowanej polityką."
rp,games.washingtonpost.com,,Desktop,Web,DISPLAY,300x250,GB,16561,14866,16256,91.45%,9,0.05%,8.876656,0.536,0.597,0.986,0,0.00%,0.8977,0.9816,0.5971,0.9481,0.0003,0.9481,low,IAB9 - Gaming,IAB12 - News & Politics,gaming,"mass_reach, professionals, young_adults",Sekcja gier prestiżowego wydawnictwa dociera do edukowanej publiczności i miłośników gier logicznych.
sas,portal6.com.br,,Mobile,Web,DISPLAY,300x250,BR,16507,12661,16185,78.23%,66,0.40%,22.292462,1.350,1.761,0.338,0,0.00%,0.767,0.9805,1.7607,0.8814,0.0001,0.8814,low,IAB12 - News & Politics,IAB14 - Entertainment,news,mass_reach,Portal informacyjny z wiadomościami i rozrywką docierający do szerokiego brazylijskiego audytorium.
adxbr,www.mixvale.com.br,,Mobile,Web,DISPLAY,336x280,BR,16247,10815,15880,68.10%,92,0.57%,17.109641,1.053,1.582,0.186,0,0.00%,0.6657,0.9774,1.582,0.8292,0.0001,0.8292,low,IAB14 - Entertainment,,entertainment,"mass_reach, young_adults",Portal rozrywkowy z szerokim zasięgiem wśród młodszej widowni.
rp,netto.gazetkapromocyjna.com.pl,,Mobile,Web,DISPLAY,970x250,PL,16223,11386,15737,72.35%,390,2.40%,187.994374,11.588,16.511,0.482,0,0.00%,0.7018,0.97,16.511,0.8467,0.0,0.8467,low,IAB23 - Shopping,,shopping,"mass_reach, parents",Promocje sklepu Netto przyciągają oszczędnych kupujących szukających okazji.
adx,www.agroinform.hu,,Mobile,Web,DISPLAY,336x280,HU,16181,360,15788,2.28%,1,0.01%,2.892227,0.179,8.034,2.892,0,0.00%,0.0222,0.9757,8.034,0.4993,0.0,0.4993,medium,IAB3 - Business,,other,professionals,"Portal branżowy dla rolnictwa, wartościowy dla B2B marek agro."
triplelift,www.dailymail.com,,Mobile,Web,DISPLAY,320x50,GB,16044,12993,15820,82.13%,12,0.07%,20.507764,1.278,1.578,1.709,0,0.00%,0.8098,0.986,1.5784,0.9036,0.0001,0.9036,low,IAB12 - News & Politics,IAB8 - Entertainment,news,mass_reach,Międzynarodowa wersja Daily Mail z wszechstronnym zasięgiem i dużą populacją użytkowników.
index,www.stokesentinel.co.uk,,Mobile,Web,DISPLAY,300x250,GB,15927,4801,15096,31.80%,11,0.07%,22.957314,1.441,4.782,2.087,0,0.00%,0.3014,0.9478,4.7818,0.6329,0.0,0.6329,medium,IAB12 - News & Politics,,news,"mass_reach, professionals",Lokalna gazeta dla mieszkańców regionu Stoke-on-Trent zainteresowanych wiadomościami lokalnych.
adxbr,dojogodobicho.com.br,,Mobile,Web,DISPLAY,336x280,BR,15444,9868,15282,64.57%,53,0.34%,7.540291,0.488,0.764,0.142,0,0.00%,0.639,0.9895,0.7641,0.8176,0.0002,0.8176,low,IAB18 - Women's Interests,IAB1 - Arts & Entertainment,lifestyle,"parents, mass_reach",Portal porad domowych i lifestylu dla kobiet zainteresowanych prowadzeniem domu.
prebidserver,vasconoticias.com.br,,Mobile,Web,DISPLAY,970x250,BR,15402,12975,14807,87.63%,51,0.33%,20.190204,1.311,1.556,0.396,0,0.00%,0.8424,0.9614,1.5561,0.9188,0.0001,0.9188,low,IAB12 - News & Politics,,news,mass_reach,Brazylijski portal informacyjny dostarczający lokalne wiadomości dla odbiorcy zainteresowanego newsem.
adx,www.radiofrance.fr,,Mobile,Web,DISPLAY,300x600,FR,15265,10763,14974,71.88%,105,0.69%,52.542318,3.442,4.882,0.500,0,0.00%,0.7051,0.9809,4.8818,0.8498,0.0,0.8498,low,IAB11 - Entertainment,IAB12 - News & Politics,news,"mass_reach, professionals",Zaufany publiczny nadawca radiowy osiąga miliony słuchaczy codziennie w Francji.
appnexus,www.correio24horas.com.br,,Mobile,Web,DISPLAY,300x250,BR,15256,1154,14983,7.70%,28,0.18%,4.096915,0.269,3.550,0.146,0,0.00%,0.0756,0.9821,3.5502,0.5295,0.0,0.5295,medium,IAB12 - News & Politics,,news,mass_reach,Brazylijski serwis informacyjny 24-godzinny docierający do stale podłączonej publiczności szukającej wiadomości.
adxbr,unotv.com,,Mobile,Web,DISPLAY,320x50,MX,15027,13082,14587,89.68%,4,0.03%,11.093286,0.738,0.848,2.773,0,0.00%,0.8706,0.9707,0.848,0.9338,0.0002,0.9338,low,IAB11 - Entertainment,IAB12 - News & Politics,entertainment,mass_reach,Meksykańska stacja telewizyjna online z programami rozrywkowymi dla masowego grona odbiorców.
rp,olx.com.br,,Mobile,Web,DISPLAY,970x250,BR,15022,9346,14522,64.36%,22,0.15%,31.667400,2.108,3.388,1.439,0,0.00%,0.6222,0.9667,3.3883,0.8052,0.0,0.8052,low,IAB18 - Shopping,,shopping,"mass_reach, high_income",Platforma e-commerce i ogłoszeniowa z dostępem do szerokich grup użytkowników kupujących i sprzedających.
rp,wydarzenia.interia.pl,,Mobile,Web,DISPLAY,320x50,PL,14968,14152,14887,95.06%,9,0.06%,8.490786,0.567,0.600,0.943,0,0.00%,0.9455,0.9946,0.6,0.9726,0.0003,0.9726,low,IAB12 - News & Politics,IAB1 - Arts & Entertainment,news,mass_reach,Serwis informacyjny o lokalnych i ogólnokrajowych wydarzeniach dla szerokie grona odbiorców.
adx,www.cookist.it,,Mobile,Web,DISPLAY,300x600,IT,14896,10811,14710,73.49%,131,0.88%,91.835021,6.165,8.495,0.701,0,0.00%,0.7258,0.9875,8.4946,0.8612,0.0,0.8612,low,IAB9 - Hobbies & Interests,IAB14 - Society,lifestyle,"mass_reach, young_adults",Serwis kulinarny z przepisami dla amatorów gotowania zainteresowanych nowymi pomysłami i wskazówkami kulinarnymi.
pubmatic,tvn24.pl,,Mobile,Web,DISPLAY,336x280,PL,14866,3931,14297,27.50%,8,0.05%,16.024350,1.078,4.076,2.003,0,0.00%,0.2644,0.9617,4.0764,0.6183,0.0,0.6183,medium,IAB12 - News & Politics,,news,"mass_reach, professionals",Wiodący polski kanał informacyjny z 24-godzinnym dostępem do informacji dla masowego odbiorcy.
sas,www.noticiasautomotivas.com.br,,Mobile,Web,VIDEO,1920x1080,BR,14820,12612,13872,90.92%,172,1.16%,58.776431,3.966,4.660,0.342,11192,75.52%,0.851,0.936,4.6604,0.8801,0.0,0.9226,low,IAB18 - Automotive,,automotive,"young_adults, professionals, high_income",Portal wiadomości motoryzacyjnych dla zainteresowanych nowościami branży.
sovrn,www.20minutos.es,,Mobile,Web,DISPLAY,970x90,ES,14342,12250,13650,89.74%,36,0.25%,8.439365,0.588,0.689,0.234,0,0.00%,0.8541,0.9518,0.6889,0.9246,0.0002,0.9246,low,IAB12 - News & Politics,,news,mass_reach,"Hiszpański portal informacyjny, dobry dla marek chcących reach'u w Iberii."
rp,clickpetroleoegas.com.br,,Mobile,Web,VIDEO,1920x1080,BR,14333,9673,13545,71.41%,91,0.63%,57.509119,4.012,5.945,0.632,12041,84.01%,0.6749,0.945,5.9453,0.8264,0.0,0.8296,low,IAB21 - Real Estate,IAB8 - Finance,finance,"professionals, high_income",Serwis nieruchomości i energetyki skierowany do profesjonalistów i inwestorów.
amazon,przegladsportowy.onet.pl,,Desktop,Web,DISPLAY,300x600,PL,14244,10038,14096,71.21%,21,0.15%,10.575679,0.742,1.054,0.504,0,0.00%,0.7047,0.9896,1.0536,0.8508,0.0002,0.8508,low,IAB17 - Sports,,sports,"mass_reach, young_adults","Serwis sportowy z dużym zasięgiem, idealny dla marek sportowych i napojów energetycznych."
adxbr,go.aftvnews.com,,TV,Web,DISPLAY,728x90,BR,14210,9797,13475,72.71%,17,0.12%,5.988705,0.421,0.611,0.352,0,0.00%,0.6894,0.9483,0.6113,0.8377,0.0003,0.8377,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Portal informacyjny dociera do publiczności zainteresowanej bieżącymi wiadomościami i dziennikarstwem.
adxbr,usfoodsearch.com,,Mobile,Web,DISPLAY,300x250,BR,14128,8214,13729,59.83%,26,0.18%,16.953743,1.200,2.064,0.652,0,0.00%,0.5814,0.9718,2.064,0.7851,0.0001,0.7851,low,IAB5 - Food & Drink,,other,"mass_reach, high_income",Wyszukiwarka restauracji i porad kulinarnych dla konsumentów poszukujących miejsc posiłków w USA.
appnexus,www.express.co.uk,,Mobile,Web,DISPLAY,300x250,GB,14110,3593,13489,26.64%,6,0.04%,53.697714,3.806,14.945,8.950,0,0.00%,0.2546,0.956,14.9451,0.6112,0.0,0.6112,medium,IAB12 - News & Politics,,news,"mass_reach, professionals",Brytyjski tabloid o szerokim zasięgu trafia do masowej publiczności szukającej wiadomości i rozrywki.
adxbr,www.instyle.es,,Mobile,Web,DISPLAY,300x600,MX,13989,10521,13370,78.69%,146,1.04%,52.185027,3.730,4.960,0.357,0,0.00%,0.7521,0.9558,4.9601,0.8713,0.0,0.8713,low,IAB16 - Hobbies & Interests,IAB10 - Music & Arts,lifestyle,"young_adults, high_income, parents","Magazyn mody i lifestyle'u skierowany do kobiet zainteresowanych trendy, stylizacją i pięknem."
appnexus,www.otempo.com.br,,Mobile,Web,VIDEO,1280x720,BR,13954,111,1326,8.37%,14,0.10%,53.173836,3.811,479.044,3.798,10814,77.50%,0.008,0.095,479.0436,0.2605,0.0,0.0893,high,IAB12 - News & Politics,IAB15 - Entertainment,news,mass_reach,Brazylijski dziennik informacyjny - doskonały dla kampanii o zasięgu brazylijskim.
adxbr,gshow.globo.com,,Mobile,Web,DISPLAY,320x100,BR,13844,12462,13407,92.95%,146,1.05%,72.400218,5.230,5.810,0.496,0,0.00%,0.9002,0.9684,5.8097,0.9489,0.0,0.9489,low,IAB1 - Arts & Entertainment,,entertainment,"mass_reach, young_adults",Brazylijski portal rozrywki Globo dociera do szerokiej publiczności zainteresowanej telewizją i programami.
adx,ge.globo.com,,Mobile,Web,DISPLAY,300x250,PT,13658,10695,13563,78.85%,11,0.08%,19.451124,1.424,1.819,1.768,0,0.00%,0.7831,0.993,1.8187,0.8907,0.0001,0.8907,low,IAB12 - News & Politics,IAB6 - Education,news,"mass_reach, students, professionals",Brazylijski serwis edukacyjny w ramach Globo dociera do uczniów i studentów poszukujących informacji edukacyjnych.
adxbr,www.contrafatos.com.br,,Mobile,Web,DISPLAY,336x280,BR,13533,9862,13347,73.89%,107,0.79%,19.055754,1.408,1.932,0.178,0,0.00%,0.7287,0.9863,1.9322,0.8626,0.0001,0.8626,low,IAB12 - News & Politics,IAB13 - Opinion,news,"professionals, mass_reach",Portal fact-checkingowy docierający do świadomych czytelników poszukujących weryfikacji i analizy informacji.
adxbr,usfoodsearch.com,,Mobile,Web,DISPLAY,336x280,BR,13528,7546,13027,57.93%,51,0.38%,12.331460,0.912,1.634,0.242,0,0.00%,0.5578,0.963,1.6342,0.7712,0.0001,0.7712,low,IAB5 - Food & Drink,,other,"mass_reach, high_income",Wyszukiwarka restauracji i porad kulinarnych dla konsumentów poszukujących miejsc posiłków w USA.
onetag,finanse.wp.pl,,Mobile,Web,DISPLAY,336x280,PL,13506,9897,13265,74.61%,11,0.08%,17.673759,1.309,1.786,1.607,0,0.00%,0.7328,0.9822,1.7858,0.8641,0.0001,0.8641,low,IAB13 - Finance,IAB12 - News & Politics,finance,"professionals, high_income",Polski portal finansowy dla profesjonalistów zainteresowanych rynkami i inwestycjami.
adxus,mediatakeout.com,,Desktop,Web,DISPLAY,300x250,US,13486,9579,12945,74.00%,3,0.02%,13.605951,1.009,1.420,4.535,0,0.00%,0.7103,0.9599,1.4204,0.8499,0.0001,0.8499,low,IAB13 - Celebrity & Entertainment News,IAB14 - Entertainment,entertainment,"mass_reach, young_adults",Portal plotek i wiadomości ze świata celebrytów dla publiki zainteresowanej życiem gwiazd.
adx,www.20minutes.fr,,Mobile,Web,DISPLAY,500x120,FR,13281,0,0,0.00%,8,0.06%,12.999961,0.979,0.000,1.625,0,0.00%,0.0,0.0,,0.0,0.0,0.0,high,IAB12 - News & Politics,,news,mass_reach,"Znana gazetka informacyjna, premium placement dla kampanii ogólnospołecznych."
adxbr,portalleodias.com,,Mobile,Web,DISPLAY,336x280,BR,13169,9810,12720,77.12%,92,0.70%,11.560207,0.878,1.178,0.126,0,0.00%,0.7449,0.9659,1.1784,0.8685,0.0001,0.8685,low,IAB12 - News & Politics,IAB14 - Entertainment,news,mass_reach,Portal informacyjny z zawartością news i rozrywki dla brazylijskiego audytorium.
adx,www.bankier.pl,,Mobile,Web,DISPLAY,160x600,PL,13018,7576,12867,58.88%,28,0.22%,30.368018,2.333,4.008,1.085,0,0.00%,0.582,0.9884,4.0085,0.7886,0.0,0.7886,low,IAB13 - Personal Finance,IAB12 - News & Politics,finance,"professionals, high_income","Portal finansowy - idealne dla sektora bankowego, ubezpieczeń i inwestycji."
adx,www.lequipe.fr,,Desktop,Web,DISPLAY,300x250,FR,12931,9711,12669,76.65%,54,0.42%,37.106309,2.870,3.821,0.687,0,0.00%,0.751,0.9797,3.8211,0.8731,0.0,0.8731,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Wiodący francuski serwis sportowy; idealna platforma dla marek sportowych i sprzętu na rynku francuskim.
sovrn,www.eldiario.es,,Mobile,Web,DISPLAY,300x600,ES,12927,1883,12786,14.73%,11,0.09%,9.126389,0.706,4.847,0.830,0,0.00%,0.1457,0.9891,4.8467,0.5682,0.0,0.5682,medium,IAB12 - News & Politics,IAB18 - Technology & Computing,news,"mass_reach, professionals, young_adults",Portal niezależny z szerokim zaangażowaniem przyciąga dorosłych odbiorców krytycznie myślących.
adxbr,techgrowtools.com,,Mobile,Web,DISPLAY,300x600,BR,12835,10682,12555,85.08%,117,0.91%,15.704207,1.224,1.470,0.134,0,0.00%,0.8323,0.9782,1.4702,0.9145,0.0001,0.9145,low,IAB19 - Technology & Computing,IAB3 - Business,technology,"professionals, tech_enthusiasts",Portal narzędzi technologicznych dla profesjonalistów szukających rozwiązań biznesowych.
openx,www.rynekzdrowia.pl,,Mobile,Web,DISPLAY,300x600,PL,12827,9323,12314,75.71%,67,0.52%,37.206704,2.901,3.991,0.555,0,0.00%,0.7268,0.96,3.9909,0.8585,0.0,0.8585,low,IAB7 - Health & Fitness,IAB19 - Technology & Computing,health,"professionals, high_income",Portal branży zdrowotnej przyciąga profesjonalistów medycznych i inwestorów sektora health-tech.
adxus,finance.yahoo.com,,Desktop,Web,DISPLAY,970x250,US,12786,9071,12651,71.70%,40,0.31%,102.590555,8.024,11.310,2.565,0,0.00%,0.7094,0.9894,11.3097,0.8532,0.0,0.8532,low,IAB13 - Finance,,finance,"professionals, high_income",Witryna finansowa Yahoo przyciągająca inwestorów i profesjonalistów rynków kapitałowych.
adxbr,gruposwhats.app,,Mobile,Web,DISPLAY,336x280,BR,12688,8692,12094,71.87%,19,0.15%,13.392618,1.056,1.541,0.705,0,0.00%,0.6851,0.9532,1.5408,0.8359,0.0001,0.8359,low,IAB19 - Shopping,IAB3 - Business,shopping,"mass_reach, young_adults",Platforma grup WhatsApp dociera do aktywnych konsumentów zainteresowanych zakupami i ofertami.
pubmatic,wiadomosci.wp.pl,,Desktop,Web,DISPLAY,336x280,PL,12663,10444,12580,83.02%,1,0.01%,5.457900,0.431,0.523,5.458,0,0.00%,0.8248,0.9934,0.5226,0.9118,0.0003,0.9118,low,IAB12 - News & Politics,,news,"mass_reach, professionals","Major portal informacyjny, premium placement dla marek chcących maksymalnego reach'u."
pubmatic,tech.wp.pl,,Mobile,Web,DISPLAY,320x50,PL,12486,11316,12027,94.09%,40,0.32%,36.051341,2.887,3.186,0.901,0,0.00%,0.9063,0.9632,3.1859,0.9521,0.0001,0.9521,low,IAB19 - Technology & Computing,,technology,"professionals, tech_enthusiasts",Serwis technologiczny dla profesjonalistów i entuzjastów zainteresowanych innowacjami.
prebid,swiatseriali.interia.pl,,Desktop,Web,DISPLAY,300x600,PL,12179,9413,12070,77.99%,5,0.04%,3.186660,0.262,0.339,0.637,0,0.00%,0.7729,0.9911,0.3385,0.8855,0.0005,0.8855,low,IAB17 - Style & Fashion,,entertainment,"mass_reach, young_adults",Serwis o serialach dla fanów seriali i rozrywki telewizyjnej zainteresowanych produkcjami.
sovrn,www.wnp.pl,,Mobile,Web,DISPLAY,300x600,PL,12157,6580,11766,55.92%,20,0.16%,28.610594,2.353,4.348,1.431,0,0.00%,0.5413,0.9678,4.3481,0.7635,0.0,0.7635,low,IAB13 - Business,IAB12 - News & Politics,news,professionals,Portal biznesowy dla kadry menedżerskiej i przedsiębiorców monitorujących rynek.
triplelift,www.netflu.com.br,,Mobile,Web,DISPLAY,300x600,BR,12110,10577,11624,90.99%,1631,13.47%,190.812776,15.757,18.040,0.117,0,0.00%,0.8734,0.9599,18.0403,0.9349,0.0,0.9349,low,IAB7 - Health & Fitness,,health,mass_reach,Portal zdrowotny dla osób szukających informacji medycznych i porad.
adform,www.lavanguardia.com,,Mobile,Web,DISPLAY,320x100,ES,12086,8817,12028,73.30%,17,0.14%,23.533077,1.947,2.669,1.384,0,0.00%,0.7295,0.9952,2.6691,0.8641,0.0001,0.8641,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Kataloński dziennik informacyjny; doskonały dla kampanii w Katalonii i dla publiczności zainteresowanej polityką.
sas,www.lequipe.fr,,Desktop,Web,DISPLAY,970x250,FR,12066,7343,11897,61.72%,44,0.36%,11.790620,0.977,1.606,0.268,0,0.00%,0.6086,0.986,1.6057,0.8016,0.0001,0.8016,low,IAB17 - Sports,,sports,"mass_reach, young_adults",Wiodący francuski serwis sportowy; idealna platforma dla marek sportowych i sprzętu na rynku francuskim.
rp,www.pulshr.pl,,Mobile,Web,DISPLAY,336x280,PL,11943,9826,11593,84.76%,155,1.30%,69.340464,5.806,7.057,0.447,0,0.00%,0.8227,0.9707,7.0568,0.9092,0.0,0.9092,low,IAB19 - Technology & Computing,IAB13 - Personal Finance,technology,"professionals, tech_enthusiasts",Portal HR i technologii przyciąga profesjonalistów szukających informacji o karierze i innowacjach.
index,www.lemonde.fr,,Mobile,Web,DISPLAY,336x280,FR,11916,6979,11763,59.33%,19,0.16%,11.275533,0.946,1.616,0.593,0,0.00%,0.5857,0.9872,1.6156,0.7902,0.0001,0.7902,low,IAB12 - News & Politics,,news,"mass_reach, professionals, high_income","Prestiżowa francuska gazeta; dostęp do wykształconej, zamożnej publiczności zainteresowanej polityką."
adxbr,dinheirosearch.com,,Mobile,Web,DISPLAY,300x600,BR,11858,11385,11648,97.74%,712,6.00%,84.345899,7.113,7.409,0.118,0,0.00%,0.9601,0.9823,7.4085,0.9798,0.0,0.9798,low,IAB8 - Finance,IAB22 - Shopping,finance,"professionals, high_income",Serwis porównania cen i finansów przyciąga konsumentów szukających najlepszych ofert i porad.
appnexus,www.elmundo.es,,Mobile,Web,DISPLAY,300x600,ES,11831,7241,11667,62.06%,95,0.80%,54.673959,4.621,7.551,0.576,0,0.00%,0.612,0.9861,7.5506,0.8034,0.0,0.8034,low,IAB12 - News & Politics,,news,"mass_reach, professionals",Największy dziennik hiszpański z szerokim zasięgiem umożliwia dotarcie do masowej i zróżnicowanej publiczności.
adx,turkweb.pl,,Mobile,Web,VIDEO,1300x1280,PL,11825,6723,11708,57.42%,15,0.13%,96.534827,8.164,14.359,6.436,10010,84.65%,0.5685,0.9901,14.3589,0.7878,0.0,0.7822,low,IAB12 - News & Politics,,news,mass_reach,Polski serwis informacyjny dostępny dla szerokiej publiczności szukającej aktualności.
adxbr,www.jigsawplanet.com,,Desktop,Web,DISPLAY,970x90,MX,11696,11285,11551,97.70%,1,0.01%,3.052027,0.261,0.270,3.052,0,0.00%,0.9649,0.9876,0.2704,0.9823,0.0006,0.9823,low,IAB20 - Video Gaming,IAB9 - Hobbies & Interests,gaming,"students, young_adults",Platforma do gier edukacyjnych (puzzle); przydatna dla marek skierowanych na młodzież i edukację.
sovrn,www.quizme.pl,,Mobile,Web,DISPLAY,320x480,PL,11583,5501,11513,47.78%,9,0.08%,0.000000,0.000,0.000,0.000,0,0.00%,0.4749,0.994,0.0,0.7359,,0.7359,low,IAB11 - Entertainment,IAB19 - Technology & Computing,gaming,"mass_reach, young_adults, students",Platforma quizów online przyciąga młodych użytkowników szukających rozrywki edukacyjnej.
triplelift,diariodonordeste.verdesmares.com.br,,Mobile,Web,DISPLAY,320x100,BR,11445,10637,11278,94.32%,42,0.37%,14.864613,1.299,1.397,0.354,0,0.00%,0.9294,0.9854,1.3974,0.9643,0.0001,0.9643,low,IAB12 - News & Politics,,news,mass_reach,Gazeta z Brazylii Północno-Wschodniej przyciąga lokalnych czytelników zainteresowanych wiadomościami.
adxbr,811817de.serenepathway.net,,Mobile,Web,DISPLAY,300x250,BR,11385,4402,10923,40.30%,73,0.64%,7.316254,0.643,1.662,0.100,0,0.00%,0.3866,0.9594,1.662,0.6812,0.0001,0.4812,medium,IAB7 - Health & Fitness,,health,mass_reach,"Serwis o zdrowiu i wellness, potencjalnie dla branży medycznej i fitness."
rp,cardgames.io,,Desktop,Web,DISPLAY,160x600,GB,11326,11015,11218,98.19%,7,0.06%,18.366438,1.622,1.667,2.624,0,0.00%,0.9725,0.9905,1.6674,0.9862,0.0001,0.9862,low,IAB20 - Games,,gaming,"mass_reach, young_adults",Platforma gier karcianych online przyciąga graczy szukających rozrywki i konkurencji.
index,mail02.orange.fr,,Desktop,Web,DISPLAY,160x600,FR,11277,10227,11237,91.01%,3,0.03%,12.941645,1.148,1.265,4.314,0,0.00%,0.9069,0.9965,1.2654,0.9533,0.0001,0.9533,low,IAB18 - Technology & Computing,,technology,"mass_reach, professionals",Usługa webmail operatora dla francuskich użytkowników korzystających z poczt elektronicznych.
adx,www.sadyogrody.pl,,Mobile,Web,DISPLAY,320x100,PL,11250,7206,10890,66.17%,10,0.09%,19.381166,1.723,2.690,1.938,0,0.00%,0.6405,0.968,2.6896,0.8149,0.0001,0.8149,low,IAB21 - Home & Garden,,lifestyle,"mass_reach, parents",Serwis ogrodniczy przyciąga amatorów uprawy kwiatów i warzyw zainteresowanych poradami praktycznymi.
index,www.huffingtonpost.es,,Mobile,Web,DISPLAY,320x100,ES,11153,9720,11047,87.99%,21,0.19%,5.598370,0.502,0.576,0.267,0,0.00%,0.8715,0.9905,0.576,0.9352,0.0003,0.9352,low,IAB12 - News & Politics,IAB14 - Society,news,"mass_reach, professionals, young_adults",Hiszpański serwis informacyjny przyciąga inteligentną publiczność zainteresowaną newsami i opinią.
adx,www.sorrisi.com,,Mobile,Web,DISPLAY,320x50,IT,11139,8190,10798,75.85%,84,0.75%,50.808581,4.561,6.204,0.605,0,0.00%,0.7353,0.9694,6.2037,0.8639,0.0,0.8639,low,IAB12 - News & Politics,IAB24 - Uncategorized,entertainment,mass_reach,Włoski serwis informacyjny i rozrywkowy dla ogólnej publiczności szukającej aktualności.
sas,www.globo.com,,Desktop,Web,VIDEO,1920x1080,BR,11132,0,0,0.00%,4,0.04%,43.940700,3.947,0.000,10.985,8018,72.03%,0.0,0.0,,0.1801,0.0,0.0,high,IAB12 - News & Politics,IAB5 - Entertainment,news,mass_reach,"Brazylijski portal newsowy z największym zasięgiem, idealny dla kampanii mainstream i mass-market."
